name1,name2,topic1,topic2,simi
东北地区10m分辨率主要作物分布数据集（2017-2019年）,东北地区10m分辨率主要作物分布数据集（2017-2019年）,遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,长江流域0.008333°分辨率到河口距离数据集（2020年）,遥感数据\遥感解译产品,陆地表层\湖泊/水库,0.32601374
东北地区10m分辨率主要作物分布数据集（2017-2019年）,2001年-2015年成渝地区双城经济圈年际耕地净初级生产力公里格网数据数据集,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,GLASS产品-长波辐射LW_modis(1km)（2010年）,遥感数据\遥感解译产品,遥感数据\反演数据产品,0.901456
东北地区10m分辨率主要作物分布数据集（2017-2019年）,中国8天500m植被聚集指数数据集（2015年）,遥感数据\遥感解译产品,陆地表层\植被,0.27571157
东北地区10m分辨率主要作物分布数据集（2017-2019年）,GLASS产品-地表反照率Albedo_modis(1km)（2015年）,遥感数据\遥感解译产品,遥感数据\反演数据产品,0.901456
东北地区10m分辨率主要作物分布数据集（2017-2019年）,浙江省30m森林分布数据(2010年),遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,中国未来30m土地利用预测数据集FROM-GLC-Simulation_6.0（2100年）,遥感数据\遥感解译产品,遥感数据\反演数据产品,0.901456
东北地区10m分辨率主要作物分布数据集（2017-2019年）,GLASS产品-叶面积指数LAI_MODIS（1km）（2001年）,遥感数据\遥感解译产品,遥感数据\反演数据产品,0.901456
东北地区10m分辨率主要作物分布数据集（2017-2019年）,中国未来30m土地利用预测数据集FROM-GLC-Simulation_8.5（2030年）,遥感数据\遥感解译产品,遥感数据\反演数据产品,0.901456
东北地区10m分辨率主要作物分布数据集（2017-2019年）,GLASS产品-叶面积指数LAI_AVHRR（0.05°）（1987年）,遥感数据\遥感解译产品,遥感数据\反演数据产品,0.901456
东北地区10m分辨率主要作物分布数据集（2017-2019年）,GLASS产品-光合有效辐射吸收比FAPAR_modis(1km)（2002年）,遥感数据\遥感解译产品,遥感数据\反演数据产品,0.901456
东北地区10m分辨率主要作物分布数据集（2017-2019年）,成渝城市群30m森林分布数据(2010年),遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,GLASS产品-发射率BBE_AVHRR（0.05°）（1990年）,遥感数据\遥感解译产品,遥感数据\反演数据产品,0.901456
东北地区10m分辨率主要作物分布数据集（2017-2019年）,成渝城市群1：25万乡镇所在地数据集(2014年),遥感数据\遥感解译产品,陆地表层\基础地理,0.3523429
东北地区10m分辨率主要作物分布数据集（2017-2019年）,长白山辐射要素数据集（2004-2014）,遥感数据\遥感解译产品,大气圈\辐射,0.3773815
东北地区10m分辨率主要作物分布数据集（2017-2019年）,阜康气象要素数据集(2016),遥感数据\遥感解译产品,大气圈\综合观测,0.5258076
东北地区10m分辨率主要作物分布数据集（2017-2019年）,长江中上游1：25万县级行政区划数据集(2014年),遥感数据\遥感解译产品,陆地表层\基础地理,0.3523429
东北地区10m分辨率主要作物分布数据集（2017-2019年）,三峡库区1：10万湿地分布数据集(1986，1995，2000，2005年),遥感数据\遥感解译产品,陆地表层\湿地,0.27273202
东北地区10m分辨率主要作物分布数据集（2017-2019年）,安徽省30m土地覆被湿地类型数据（2010年）,遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,武隆区公里格网植被减少表土损失价值量数据(2010),遥感数据\遥感解译产品,陆地表层\生态,0.28117198
东北地区10m分辨率主要作物分布数据集（2017-2019年）,江西省30m土地覆被人工表面用地类型数据（2010年）,遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,福建省1km土地覆被耕地类型数据（2015年）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,台湾省1km土地覆被草地类型数据（2015年）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,鄱阳湖流域径流模拟数据集（过去1000a）,遥感数据\遥感解译产品,古环境\古气候重建,0.24966696
东北地区10m分辨率主要作物分布数据集（2017-2019年）,黑龙江省30m土地覆被湿地类型数据（2010年）,遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,海南省30m土地覆被林地类型数据（2010年）,遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,海南省1km土地覆被林地类型数据（2015年）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,上海市30m土地覆被湿地类型数据（2010年）,遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,天津市1km土地覆被林地类型数据（2015年）,遥感数据\遥感解译产品,陆地表层\土地利用/覆盖,0.32870966
东北地区10m分辨率主要作物分布数据集（2017-2019年）,中国分城市群流动人口基本特征数据（2011年）,遥感数据\遥感解译产品,陆地表层\人口,0.24181138
东北地区10m分辨率主要作物分布数据集（2017-2019年）,中国分城市群流动人口婚育与计划生育服务特征数据（2012年）,遥感数据\遥感解译产品,陆地表层\人口,0.24181138
东北地区10m分辨率主要作物分布数据集（2017-2019年）,西北地区1：400万土壤有效锌含量分布图(1980s),遥感数据\遥感解译产品,陆地表层\土壤,0.18846807
东北地区10m分辨率主要作物分布数据集（2017-2019年）,长江三角洲城市群1：400万森林分布图（1977年）,遥感数据\遥感解译产品,陆地表层\植被,0.27571157
东北地区10m分辨率主要作物分布数据集（2017-2019年）,云南省1：400万土壤有效锰含量分布图(1980s),遥感数据\遥感解译产品,陆地表层\土壤,0.18846807
东北地区10m分辨率主要作物分布数据集（2017-2019年）,珠江三角洲城市群1：400万县级行政区划数据集（1987年）,遥感数据\遥感解译产品,陆地表层\基础地理:陆地表层\区划,0.3244798
东北地区10m分辨率主要作物分布数据集（2017-2019年）,安徽省1：400万土壤有效锌含量分布图(1980s),遥感数据\遥感解译产品,陆地表层\土壤,0.18846807
东北地区10m分辨率主要作物分布数据集（2017-2019年）,西北地区1：100万土地资源数据（1980s）,遥感数据\遥感解译产品,自然资源\土地资源,0.27983144
东北地区10m分辨率主要作物分布数据集（2017-2019年）,华东地区1：400万土壤有效铁含量分布图(1980s),遥感数据\遥感解译产品,陆地表层\土壤,0.18846807
东北地区10m分辨率主要作物分布数据集（2017-2019年）,山西省公里网格农田光温生产潜力（1980s）,遥感数据\遥感解译产品,自然资源\农业资源,0.17982717
东北地区10m分辨率主要作物分布数据集（2017-2019年）,中国1：25万土地覆被数据（2005年）,遥感数据\遥感解译产品,遥感数据\遥感解译产品:陆地表层\土地利用/覆盖,0.77499115
东北地区10m分辨率主要作物分布数据集（2017-2019年）,福建省1：400万植被图（1979年）,遥感数据\遥感解译产品,陆地表层\植被,0.27571157
东北地区10m分辨率主要作物分布数据集（2017-2019年）,中国1：25万土地覆被裸地类型数据（2005年）,遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
东北地区10m分辨率主要作物分布数据集（2017-2019年）,山西省100米分辨率土地覆被城镇建设用地类型数据(1980年代),遥感数据\遥感解译产品,遥感数据\遥感解译产品,1.0
