Subject,Predicate,Object
MountainSnowCover,subClassOf,SnowfallDistribution
NaturalSoilLandscape,subClassOf,SoilLandscape
CoastalEcology,type,Class
FungalEcology,type,Class
PrecipitationReconstruction,type,Class
N8101732cd4874133b66470a0ff6806ea,type,Restriction
MediterraneanHimalayanSubtropics,type,Class
TradeWind,hasChineseName,信风
Steppe,subClassOf,LandCoverType
UnderlyingSurfaceFactor,hasChineseName,下垫面因子
RadiationFog,subClassOf,CoolingEffectFog
CombustibleIce,comment,cm³。一升的甲烷气水包合物固体，在标准状况下，平均包含168升的甲烷气体。甲烷形成一种结构一型水合物，其每单位晶胞内有两个十二面体（20个端点因此有20个水分子）和六个十四面体（tetrakaidecahedral，24个水分子）的水笼结构。其水合值（hydratationvalue）20可由MASNMR来求得。甲烷气水包合物频谱于275K和3.1MPa下记录，显示出每个笼形都反映出峰值，且气态的甲烷也有个别的峰值。
N78956ade18bf400e87c856b5c8d4ce79,onProperty,hasPossibleCause
CarbonAndHydrocarbons,subClassOf,AtmosphericCompound
AfforestationDensity,comment,林分密度指在人工林内树木的分布密度，通常以每亩或每公顷的树木数量表示。林分密度与造林密度有所不同，它反映了成熟林地上树木的分布情况，包括树木的年龄结构和空间分布。
TreeRing,type,Class
EstuaryEcosystem,source,《地球系统科学数据资源体系研究》
UndergroundHotWater,type,Class
AquiferOverflowRecharge,subClassOf,GroundwaterRechargeMethod
HumanActivityZoning,type,Class
Karstification,source,GCMDsciencekeywords_v16.0、《地理辞典》、维基百科
AerosolOpticalThickness,type,Class
ChemicalOxygenDemand,source,GCMDsciencekeywords_v16.0
Entognatha,type,Class
ConstructionType,source,《地理辞典》
GlacialFacies,subClassOf,GlacierInternalStructuralProperties
Nf7fce4ac33424e7e871d9d011d85ded2,someValuesFrom,CurrentAction
SecondaryElements,type,Class
Mountain,hasChineseName,山地
PhotoheterotrophicType,type,Class
Bacillariophyta,source,维基百科
Geothermal,type,Class
AtmosphericTraceGasComposition,subClassOf,AtmosphericComposition
Ceiling,type,Class
OutflowLake,source,《地理辞典》
TropicalForestZoneFauna,subClassOf,AnimalEcologicalGeographicalGroup
LoessPlateau,comment,黄土塬是黄土地貌中的一个重要类型，其特点是广泛的黄土覆盖地表，形成了广阔的高原或丘陵地带。黄土塬常常由黄土层构成，这些层堆积而成，由于风和水的侵蚀作用而形成了各种壮丽的地形特征。
GlacierTerminus,comment,冰川终点指冰川的最远端或结束点，通常是冰川流出的位置，也被称为冰川的前沿。
SeaIceThermalExpansionCoefficient,hasChineseName,海冰热膨胀系数
Zygomycota,comment,外囊菌亚门是子囊菌门中的一个比较原始的分支，本门中其他菌种基本是由其进化出的，最新的分子生物学研究证明其是单源种。外囊菌亚门的种类基本是寄生的，以菌丝或酵母方式寄生在植物的叶、枝或花蕾上，但没有寄生于根部的。许多种类为植物的致病菌。
Coccobacillus,hasChineseName,球杆菌
Entognatha,comment,内口纲，是节肢动物中的一纲，和昆虫纲合称为六足亚门。内口纲的口器藏于头部内一个可翻缩的囊里，上颚仅有一个关节与头部连接，此特征将其和昆虫区隔，但两者有些许关联性。内口纲属原始无翅类，触角大多数节内具肌肉，马氏管不发达或全无，腹部有附肢痕迹。内口纲包含有弹尾目、双尾目和原尾目三个目。这些动物在六足亚门之中的演化是独立于昆虫之外的，并且各个目之间也相互独立。这三个目并不紧密关连，因此内口纲被认为是一个并系群。
Typhoon,subClassOf,WindType
GeologicalStructure,type,Class
RiverIce,source,GCMDsciencekeywords_v16.0、《地球系统科学数据资源体系研究》、《地球系统科学数据集成共享研究：标准视角》、SWEET
Hornblende,comment,角闪石是角闪石系列矿物的总称，根据其晶体结构可以被分为斜方角闪石和单斜角闪石两种。角闪石是含有氢氧根的链状结构硅酸盐。
Shale,type,Class
VaporFlux,subClassOf,WaterVaporProcess
RiverVolume,hasChineseName,河流体积
OceanRadiationTransfer,source,GCMDsciencekeywords_v16.0
Plasmid,comment,质体是指在细胞的染色体或核区DNA之外，能够自主复制的DNA分子（字源：plasm为生殖质，-id表示粒）。质体与染色体最主要的区分是，质体不是细胞生存所必需，染色体则是细胞生存必需的。大部分的质体都是环状分子，但是也有少数属于线状分子，它存在于许多细菌以及酵母菌等生物中，乃至于植物的线粒体等胞器中。天然质体的DNA长度从数千碱基对至数十万碱基对都有。质体天然存在于这些生物里面，有时候一个细胞里面可以有一种乃至于数种的质体的存在。质体的套数在细胞里从一到数千都有。有些质体含有某种抗药基因（如大肠杆菌中就有含有抗四环素基因的质体）。有一些质体携带的基因可以赋予细胞额外的生理代谢能力，提高它的致病力。一般来说，质体的存在与否对宿主细胞在良好环境下的生存没有决定性的作用。它是基因工程最常见的转载体。简单的说，可以将质体视为基因的补充，并非必要，但其存在可使带有的生物更好的面对各种环境。
BeverageCrop,type,Class
SporopollenMorphology,comment,孢粉形态指孢子和花粉颗粒的外部形状和结构，可用于研究古植被和气候条件。
Trilobota,subClassOf,Arthropods
SeaBreezeMotionObservation,hasChineseName,海风运动观测
Gold,hasChineseName,金
Bromine,hasChineseName,溴
Cirque,subClassOf,GlacialErosionType
FrozenSoilFormationAge,hasChineseName,冻土成土年龄
TornadoEddiesCharacteristics,comment,龙卷风涡旋是指龙卷风的旋转特性。它们通常与强风和破坏性的特征相关，包括喷射流。
HeavyRainstorm,type,Class
Scree,subClassOf,GravityLandformType
N6e71b6cf41c949258ffdcf92b59eeb26,someValuesFrom,SeawaterPressure
CloudOpticalThickness,hasChineseName,云光学厚度
Rainstorm,type,Class
RockTexture,source,GCMDsciencekeywords_v16.0
GlacierAccumulationZone,hasChineseName,冰川积聚区
Granite,hasChineseName,花岗岩
SwampEcosystem,hasChineseName,沼泽生态系统
UltravioletRadiation,subClassOf,SolarRadiationType
AvailableWaterSupply,hasChineseName,可供水量
OrganicColloid,comment,有机胶体是土壤颗粒中的一部分，它们是一种具有胶状性质的有机物质。有机胶体对土壤的保水性和保肥性有重要影响，它们可以吸附和储存养分，对植物生长提供支持。
SoilHygiene,comment,土壤卫生关注土壤的质量和卫生状况，以减少土壤传播的健康威胁，如土壤中的污染物。
ContourMap,subClassOf,TerrainElevation
ExtremeTemperatureWeather,comment,极端气温天气是指气温在某一时间点或时间段内显著偏离正常范围的气象现象。这些极端气温可以是异常高或异常低的，通常会对人类、动植物、农业和基础设施造成不利影响。
Helium,hasChineseName,氦气
Naaa5fc8786eb4cce9bea2c1e4fe0c0b9,someValuesFrom,TectonicMovement
StormSurge,subClassOf,HydrologicalDisaster
CoastalEcology,hasChineseName,海岸生态
MaximumGust,source,GCMDsciencekeywords_v16.0
AntarcticResources,subClassOf,SouthPole
ArtificialEarthquake,type,Class
PlantResources,hasChineseName,植物资源
Chlorophyll,subClassOf,Photosynthesis
Nb42b83a589fe4d20a0635b942398e027,onProperty,hasPossibleCause
DroughtDuration,hasChineseName,干旱历时
GroundwaterRechargeLevel,source,《地理辞典》
SurfaceUndulationCondition,hasChineseName,表面起伏状况
MicroorganismResources,subClassOf,BiologicalResources
ShortwaveRadiation,type,Class
Dust,altLabel,粉尘
StaticPressure,source,GCMDsciencekeywords_v16.0、《地球系统科学数据资源体系研究》、《地球系统科学数据集成共享研究：标准视角》、SWEET、维基百科
SoilVolume,type,Class
WaterMass,source,GCMDsciencekeywords_v16.0
Anticyclone,type,Class
N3489ee79f8844ebe8212e9c9059575a7,type,Restriction
EstuarineLandformType,type,Class
SquallLine,hasChineseName,飑线
synonym,subPropertyOf,essentialProperties
WaterQualityDetectionIndicator,type,Class
PopulationDivision,comment,省、县、市、乡村等。
Aphelidiomycota,type,Class
JungleEcosystem,type,Class
X-Ray,altLabel,伦琴射线
CloudProcess,comment,云过程是指在大气中发生的与云和云中现象相关的物理和化学事件，包括云的形成、发展、演变和消散等过程。
Nbef860b6d0f54321b81707b6eb7c8052,type,Restriction
PermafrostLayer,hasChineseName,永冻层
LoessAccumulation,hasChineseName,黄土堆积作用
ArtificialRechargeSupply,hasChineseName,人工回灌补给
WindEnergy,type,Class
SeabedSedimentType,subClassOf,SubmarineSedimentCharacteristics
AudioFrequency,source,GCMDsciencekeywords_v16.0
Diamond,subClassOf,GemstoneMineral
ForestMaturityAge,type,Class
SeawaterReflection,source,GCMDsciencekeywords_v16.0
MineralStreaks,source,GCMDsciencekeywords_v16.0
Andesite,subClassOf,VolcanicLava
ContinentalMarginLandform,comment,大陆边缘是指陆地（大陆块）与海洋之间的过渡地带，通常位于大陆的边缘。大陆边缘包括大陆架、大陆坡和大陆坡之下的大陆坡盆地。大陆边缘是地壳板块的交界区域，通常在这里会发生地震和火山活动。大陆边缘也是海洋生物丰富的地区，因为它们通常拥有大量的浅水区域，适合海洋生物栖息和繁衍。
N74d92eb097194a31b7e6724949c2c825,type,Restriction
StrongColdAir,subClassOf,ColdAirType
MeteoricStone,source,维基百科
Asteroidea,type,Class
CompressiveRemanence,comment,压剩磁指在岩石受到应力或压力作用时产生的剩磁，通常用于研究构造地质学和地壳运动。
OrdovicianStrata,type,Class
SeaSurfaceTemperatureAnomaly,subClassOf,N6b26e28bff684e52bd8142b387439d3f
KarstWater,comment,喀斯特水指出现在喀斯特地貌地区的地下水，通常与溶洞和岩溶地貌有关。
GroundwaterPermeability,type,Class
SurfaceReflectionCoefficient,type,Class
FarmlandSoilEcosystem,source,《地理辞典》
LoessColumn,hasChineseName,黄土柱
PrecipitationOverview,type,Class
CalciumIon,type,Class
CloudTopCharacteristics,hasChineseName,云顶特性
MixedModeVirus,source,维基百科
SeaErosionNiche,comment,海蚀龛是由海水冲击、侵蚀岩石或崖壁而形成的凹陷或洞穴，通常位于海岸线上，是海蚀地貌的一种典型特征。
AtmosphericPhysics,source,GCMDsciencekeywords_v16.0、《地理辞典》、《地球系统科学数据资源体系研究》、《地球系统科学数据集成共享研究：标准视角》、《地球系统研究与科学数据》、SWEET、维基百科
WindblownDepression,type,Class
MarineMineralResources,source,《地球系统科学数据资源体系研究》
WaveFrequency,comment,波浪频率指单位时间内通过某一点的波浪数目，通常以赫兹（Hz）表示。波浪频率与波浪周期之间存在倒数关系。
Bioluminescence,comment,生物发光是某些海洋生物在受到激发或刺激时产生可见光的现象。这种发光现象通常与生物活动、生态系统和环境条件相关。
SeaIceChemicalProperties,comment,海冰的化学性质包括其中的盐度、氧含量、溶解气体等，这些属性可以影响海冰的密度、融化特性以及对海洋生态系统的影响。研究海冰的化学性质有助于理解其在全球气候系统中的角色。
LakeBasin,hasChineseName,湖泊流域
OceanThermalEnergy,hasChineseName,海洋温差能
NaturalGasHydratePhysicalProperties,subClassOf,NaturalGasHydrate
N940091085b294f55953a21a214f7656d,type,Restriction
PlantCellWall,comment,细胞壁是植物细胞的外层，在细胞膜的外面，细胞壁之厚薄常因组织、功能不同而异。它可以是坚韧的，有弹性，和有时坚硬的。它提供细胞既有结构支撑和保护，例如将动物细胞放入纯水，会进水量比出水量多而造成爆破；但植物细胞因为有细胞壁，顶多只会膨胀，不至爆破。细胞壁同时也作为一种过滤机制。植物、真菌（菌物）、藻类和原核生物都具有细胞壁，而支原体属细胞不具有细胞壁。细胞壁的组成随着不同物种而变化，并可能取决于细胞的类型和发展阶段。陆生植物的初生细胞壁（primarycellwall）的组成是多糖类的纤维素，半纤维素和果胶。在细菌中，细胞壁的组成是肽聚糖。古菌细胞壁有各种组分物组成，并可能由糖蛋白的S层，假肽聚糖或多糖组成的。真菌具有N-乙酰葡萄糖胺的聚合物几丁质组成的细胞壁，和藻类通常具有糖蛋白和多糖组成的细胞壁。与众不同的是，矽藻具有一个由生物硅组成的细胞壁。其他辅助分子往往也锚定到细胞壁中，例如木质素和几丁质。
StormRelativeWind,type,Class
PlantRestore,hasChineseName,植被重建
MarineErosionTerrace,comment,海蚀阶地是海水侵蚀作用下，原本位于海平面以下的地表岩石被侵蚀，留下一块平坦或略高于周围地形的地貌特征，通常位于海岸线附近。
AerosolForwardScattering,source,GCMDsciencekeywords_v16.0
SoilGeography,subClassOf,SoilSphere
SurfaceMechanismLayer,type,Class
KryptonGas,subClassOf,InertGas
AudioFrequency,hasChineseName,声频
Epiphyte,source,维基百科
BiologicalIntegrityIndex,comment,生物完整性指数是用于评估水体生态系统健康和生物多样性的指标。它通常基于水生生物（如鱼类、昆虫、浮游生物等）的群落结构和健康状况来评估水体的整体生态健康。生物完整性指数对于监测水体环境的变化和生态系统的恢复至关重要。
ClimateImpactFactor,source,维基百科
ParasiticCone,comment,寄生锥是指一个火山在另一个火山的喷发口附近形成的较小火山锥。寄生锥通常是次要火山特征，形成于主要火山喷发的喷发口周围。
Trilobota,source,维基百科
N48acc66d0bf14c28944c7d6860aa720f,onProperty,hasPossibleCause
FrostProbability,source,GCMDsciencekeywords_v16.0
Rostroconchia,source,维基百科
CoalResource,hasChineseName,煤炭资源
DrySeason,comment,枯水期是指河流水量达到年度最低水位的时期，通常在干旱或少雨季节，这时河流水位较低，流量减少。
PlantSpecies,subClassOf,PlantEcology
EarthquakeCollapse,source,《地球系统科学数据资源体系研究》
NaturalGasHydrateReserves,type,Class
SoilMechanicalProperties,type,Class
